,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,2017-06-21 08:36:34,2017-06-21 08:44:43,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,2017-03-11 10:40:00,2017-03-11 10:46:00,402.54900000000004,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
…
1553359,2017-06-16 04:08:16,2017-06-16 04:29:38,1281.4589999999998,10th & Monroe St NE,3rd & H St NW,Customer
